FID,Classified,GrndTruth,LULC,Elevation,Rainfall,Plain_type,Land_type,Soil_type,Erosion,Flood_type
0,-1,1,1,-9999,279.553009,-9999,2,-9999,-9999,-9999
1,-1,8,8,-9999,279.553009,-9999,-9999,-9999,-9999,-9999
2,-1,5,5,-9999,287.9410095,-9999,-9999,-9999,-9999,-9999
3,-1,6,6,-9999,287.9410095,-9999,-9999,-9999,-9999,-9999
4,-1,1,1,9,301.321991,-9999,-9999,-9999,-9999,-9999
5,-1,7,7,9,301.321991,-9999,-9999,-9999,-9999,-9999
6,-1,5,5,7,311.9299927,12,5,5,1,2
7,-1,5,5,7,311.9299927,12,5,5,1,2
8,-1,1,1,-9999,311.9299927,-9999,-9999,-9999,-9999,-9999
9,-1,5,5,7,321.9609985,12,6,5,1,2
10,-1,2,2,7,311.9299927,12,5,5,1,2
11,-1,2,2,7,311.9299927,12,5,5,1,2
12,-1,5,5,8,311.9299927,12,5,5,1,2
13,-1,5,5,7,321.9609985,12,5,5,1,2
14,-1,5,5,7,311.9299927,12,5,5,1,2
15,-1,5,5,7,321.9609985,12,5,5,1,2
16,-1,2,2,8,311.9299927,12,5,5,1,2
17,-1,7,7,7,312.7149963,12,5,5,1,2
18,-1,2,2,7,304.6239929,12,5,5,1,2
19,-1,5,5,7,304.6239929,12,6,5,1,2
20,-1,2,2,8,304.6239929,12,5,5,1,2
21,-1,1,1,-9999,304.6239929,-9999,5,-9999,-9999,-9999
22,-1,2,2,8,304.6239929,12,3,5,1,3
23,-1,7,7,8,304.6239929,10,4,1,4,1
24,-1,7,7,7,312.7149963,12,4,5,1,3
25,-1,5,5,8,312.7149963,12,4,5,1,3
26,-1,5,5,7,312.7149963,12,4,5,1,3
27,-1,1,1,-9999,304.6239929,-9999,4,-9999,-9999,-9999
28,-1,7,7,7,312.7149963,12,4,5,1,3
29,-1,1,1,-9999,304.6239929,-9999,4,-9999,-9999,-9999
30,-1,1,1,-9999,304.6239929,-9999,4,-9999,-9999,-9999
31,-1,5,5,7,312.7149963,12,5,5,1,3
32,-1,8,8,-9999,304.6239929,-9999,-9999,-9999,-9999,-9999
33,-1,5,5,4,312.7149963,12,6,5,1,3
34,-1,5,5,7,321.9609985,12,5,5,1,2
35,-1,5,5,7,321.9609985,12,5,5,1,2
36,-1,5,5,7,321.9609985,12,5,5,1,2
37,-1,5,5,6,321.9609985,12,5,5,1,2
38,-1,2,2,6,321.9609985,12,5,5,1,2
39,-1,2,2,6,321.9609985,12,5,5,1,2
40,-1,2,2,6,312.7149963,12,5,5,1,2
41,-1,5,5,6,312.7149963,12,5,5,1,2
42,-1,1,1,-9999,304.6239929,-9999,-9999,-9999,-9999,-9999
43,-1,5,5,4,312.7149963,12,6,5,1,3
44,-1,8,8,6,304.6239929,10,-9999,1,4,1
45,-1,1,1,4,312.7149963,12,6,5,1,3
46,-1,1,1,-9999,312.7149963,10,6,3,2,1
47,-1,1,1,-9999,304.6239929,-9999,-9999,-9999,-9999,-9999
48,-1,1,1,-9999,312.7149963,10,-9999,3,2,1
49,-1,1,1,-9999,312.7149963,10,5,3,2,1
50,-1,1,1,-9999,312.7149963,10,5,3,2,1
51,-1,1,1,-9999,312.7149963,10,-9999,3,2,1
52,-1,1,1,-9999,304.6239929,-9999,-9999,-9999,-9999,-9999
53,-1,1,1,-9999,312.7149963,10,5,3,2,1
54,-1,5,5,-9999,304.6239929,10,-9999,3,2,1
55,-1,1,1,-9999,312.7149963,10,4,3,2,1
56,-1,5,5,-9999,304.6239929,-9999,-9999,-9999,-9999,-9999
57,-1,5,5,-9999,298.8850098,10,5,3,2,1
58,-1,5,5,-9999,298.8850098,10,5,3,2,1
59,-1,5,5,7,312.7149963,12,6,5,1,3
60,-1,7,7,6,312.7149963,12,6,5,1,3
61,-1,1,1,5,312.7149963,12,5,5,1,3
62,-1,1,1,6,312.7149963,12,5,5,1,3
63,-1,1,1,-9999,312.7149963,10,5,1,4,1
64,-1,1,1,-9999,312.7149963,10,5,3,2,1
65,-1,5,5,-9999,298.8850098,10,-9999,3,2,1
66,-1,5,5,-9999,298.8850098,10,-9999,3,2,1
67,-1,5,5,-9999,298.8850098,-9999,-9999,-9999,-9999,-9999
68,-1,7,7,-9999,298.8850098,-9999,-9999,-9999,-9999,-9999
69,-1,5,5,-9999,298.8850098,-9999,-9999,-9999,-9999,-9999
70,-1,7,7,8,324.5920105,8,2,6,1,3
71,-1,5,5,7,321.9609985,12,5,5,1,2
72,-1,7,7,8,324.5920105,8,2,6,1,3
73,-1,5,5,8,324.5920105,12,5,5,1,2
74,-1,5,5,6,321.9609985,12,6,5,1,2
75,-1,7,7,6,321.2850037,12,6,5,1,2
76,-1,5,5,5,321.2850037,12,6,5,1,2
77,-1,7,7,6,321.2850037,8,2,6,1,3
78,-1,5,5,6,312.7149963,12,5,5,1,2
79,-1,5,5,6,312.7149963,12,5,5,1,2
80,-1,5,5,6,321.2850037,12,5,5,1,2
81,-1,7,7,7,321.2850037,12,5,5,1,2
82,-1,5,5,6,312.7149963,12,5,5,1,3
83,-1,2,2,6,321.2850037,12,5,5,1,2
84,-1,7,7,6,312.7149963,12,5,5,1,3
85,-1,5,5,6,332.4330139,8,4,6,1,3
86,-1,5,5,6,332.4330139,8,4,6,1,3
87,-1,7,7,7,324.5920105,8,2,6,1,3
88,-1,7,7,7,324.5920105,8,2,6,1,3
89,-1,7,7,6,332.4330139,8,4,6,1,3
90,-1,5,5,7,324.5920105,8,3,6,1,3
91,-1,7,7,6,330.0549927,8,4,6,1,3
92,-1,5,5,5,321.2850037,8,3,6,1,3
93,-1,5,5,5,330.0549927,8,6,6,1,3
94,-1,5,5,5,321.2850037,8,6,6,1,3
95,-1,7,7,6,330.0549927,8,4,6,1,3
